Elevation,Slope,Aspect,x,y,ID,VsI,VsL,Vd
4087.01,34.2,36.1,358893.011,3123954.771,2,0.690,0.861,0.471
4086.23,34.8,36.3,358894.011,3123954.771,2,0.683,0.851,0.461
4085.70,36.8,36.0,358895.011,3123954.771,2,0.681,0.846,0.449
4084.84,39.7,34.2,358896.011,3123954.771,2,0.674,0.835,0.439
4084.17,38.4,36.0,358897.011,3123954.771,2,0.671,0.828,0.430
4083.41,39.5,36.8,358898.011,3123954.771,2,0.667,0.820,0.423
4082.75,41.1,37.1,358899.011,3123954.771,2,0.665,0.814,0.410
4081.79,41.1,37.0,358900.011,3123954.771,2,0.658,0.800,0.396
4081.00,40.8,36.9,358901.011,3123954.771,2,0.654,0.791,0.390
4080.46,40.6,36.8,358902.011,3123954.771,2,0.656,0.792,0.375
4079.55,39.6,36.2,358903.011,3123954.771,2,0.650,0.779,0.372
4078.98,41.6,35.9,358904.011,3123954.771,2,0.651,0.778,0.367
4074.56,34.3,37.9,358910.011,3123954.771,2,0.640,0.740,0.353
4073.99,36.1,42.4,358911.011,3123954.771,2,0.641,0.738,0.354
4088.35,41.1,35.9,358891.011,3123953.771,2,0.697,0.875,0.479
4087.69,35.1,35.9,358892.011,3123953.771,2,0.690,0.864,0.470
4087.28,35.8,34.9,358893.011,3123953.771,2,0.688,0.860,0.461
4086.64,38.8,34.3,358894.011,3123953.771,2,0.683,0.853,0.454
4086.13,40.4,33.5,358895.011,3123953.771,2,0.681,0.848,0.445
4085.47,43.6,33.5,358896.011,3123953.771,2,0.676,0.841,0.433
4084.77,44.2,33.6,358897.011,3123953.771,2,0.672,0.832,0.425
4084.40,47.5,36.3,358898.011,3123953.771,2,0.673,0.835,0.411
4083.29,49.6,36.7,358899.011,3123953.771,2,0.662,0.814,0.403
4082.69,50.3,36.5,358900.011,3123953.771,2,0.662,0.812,0.391
4082.10,52.7,35.9,358901.011,3123953.771,2,0.661,0.807,0.380
4080.93,50.8,35.9,358902.011,3123953.771,2,0.651,0.790,0.364
4080.56,46.2,35.2,358903.011,3123953.771,2,0.655,0.792,0.359
4079.85,48.4,35.0,358904.011,3123953.771,2,0.653,0.787,0.348
4078.66,50.8,35.8,358905.011,3123953.771,2,0.643,0.767,0.345
4077.76,49.5,35.2,358906.011,3123953.771,2,0.638,0.757,0.338
4076.86,49.0,34.8,358907.011,3123953.771,2,0.634,0.747,0.337
4076.09,45.7,34.8,358908.011,3123953.771,2,0.631,0.740,0.341
4075.53,40.7,35.2,358909.011,3123953.771,2,0.633,0.739,0.344
4075.00,39.9,36.5,358910.011,3123953.771,2,0.635,0.739,0.337
4074.46,46.5,37.5,358911.011,3123953.771,2,0.636,0.737,0.334
4073.07,48.2,38.4,358912.011,3123953.771,2,0.623,0.715,0.345
4072.21,40.9,38.4,358913.011,3123953.771,2,0.620,0.704,0.346
4091.20,53.8,36.4,358888.011,3123952.771,2,0.737,0.950,0.467
4090.42,52.4,35.9,358889.011,3123952.771,2,0.725,0.927,0.473
4090.02,48.9,35.9,358890.011,3123952.771,2,0.720,0.919,0.471
4089.18,47.6,35.7,358891.011,3123952.771,2,0.708,0.895,0.476
4088.30,44.9,35.9,358892.011,3123952.771,2,0.695,0.874,0.473
4087.97,43.0,34.3,358893.011,3123952.771,2,0.694,0.872,0.467
4087.37,44.2,33.6,358894.011,3123952.771,2,0.689,0.865,0.455
4086.82,44.3,33.4,358895.011,3123952.771,2,0.685,0.858,0.448
4086.22,44.6,32.9,358896.011,3123952.771,2,0.681,0.851,0.438
4085.74,44.4,33.6,358897.011,3123952.771,2,0.679,0.847,0.430
4085.10,46.9,35.4,358898.011,3123952.771,2,0.675,0.841,0.415
4084.38,49.7,35.9,358899.011,3123952.771,2,0.670,0.831,0.405
4083.89,51.8,35.8,358900.011,3123952.771,2,0.670,0.831,0.389
4083.19,54.9,34.9,358901.011,3123952.771,2,0.667,0.822,0.380
4082.19,55.6,34.8,358902.011,3123952.771,2,0.659,0.808,0.370
4081.14,51.4,33.7,358903.011,3123952.771,2,0.651,0.791,0.356
4080.44,49.7,33.7,358904.011,3123952.771,2,0.650,0.787,0.348
4080.01,53.7,35.0,358905.011,3123952.771,2,0.652,0.786,0.337
4079.19,56.5,33.7,358906.011,3123952.771,2,0.648,0.778,0.331
4078.54,58.9,33.7,358907.011,3123952.771,2,0.648,0.774,0.320
4077.41,59.6,33.7,358908.011,3123952.771,2,0.639,0.758,0.321
4076.38,55.8,34.2,358909.011,3123952.771,2,0.632,0.744,0.328
4075.83,52.7,34.6,358910.011,3123952.771,2,0.634,0.744,0.328
4075.17,56.7,36.4,358911.011,3123952.771,2,0.633,0.739,0.321
4073.56,59.0,37.3,358912.011,3123952.771,2,0.617,0.714,0.325
4072.22,52.4,37.5,358913.011,3123952.771,2,0.606,0.691,0.331
4071.18,34.7,37.0,358914.011,3123952.771,2,0.599,0.677,0.337
4071.01,26.6,36.8,358915.011,3123952.771,2,0.609,0.688,0.335
4090.50,56.0,35.9,358890.011,3123951.771,2,0.724,0.929,0.459
4090.00,53.0,35.7,358891.011,3123951.771,2,0.718,0.917,0.459
4089.32,52.1,35.9,358892.011,3123951.771,2,0.708,0.900,0.459
4088.80,49.1,34.6,358893.011,3123951.771,2,0.703,0.889,0.457
4088.26,46.7,33.6,358894.011,3123951.771,2,0.697,0.882,0.445
4087.66,46.7,33.5,358895.011,3123951.771,2,0.692,0.871,0.444
4087.01,46.7,33.5,358896.011,3123951.771,2,0.686,0.862,0.431
4086.49,47.3,33.6,358897.011,3123951.771,2,0.683,0.856,0.420
4085.83,48.1,34.5,358898.011,3123951.771,2,0.677,0.849,0.414
4085.43,47.7,34.8,358899.011,3123951.771,2,0.677,0.846,0.406
4085.04,50.3,34.8,358900.011,3123951.771,2,0.679,0.848,0.386
4084.26,53.8,34.6,358901.011,3123951.771,2,0.674,0.837,0.379
4083.41,56.2,34.0,358902.011,3123951.771,2,0.668,0.826,0.360
4082.31,55.2,33.8,358903.011,3123951.771,2,0.658,0.807,0.352
4081.65,52.1,33.7,358904.011,3123951.771,2,0.657,0.803,0.342
4081.07,51.5,35.2,358905.011,3123951.771,2,0.657,0.798,0.334
4080.31,51.3,33.8,358906.011,3123951.771,2,0.653,0.791,0.320
4079.90,55.4,33.8,358907.011,3123951.771,2,0.656,0.792,0.316
4079.01,60.8,33.7,358908.011,3123951.771,2,0.651,0.782,0.303
4077.99,61.0,33.8,358909.011,3123951.771,2,0.644,0.768,0.306
4077.38,58.3,33.6,358910.011,3123951.771,2,0.644,0.765,0.312
4076.49,60.5,35.4,358911.011,3123951.771,2,0.640,0.754,0.309
4074.94,65.0,36.2,358912.011,3123951.771,2,0.624,0.730,0.307
4073.06,64.3,36.2,358913.011,3123951.771,2,0.605,0.698,0.318
4071.62,56.0,34.7,358914.011,3123951.771,2,0.593,0.676,0.321
4070.93,42.6,34.3,358915.011,3123951.771,2,0.594,0.672,0.320
4070.22,40.0,33.8,358916.011,3123951.771,2,0.593,0.667,0.323
4091.39,55.3,35.7,358891.011,3123950.771,2,0.740,0.965,0.444
4090.69,55.5,35.9,358892.011,3123950.771,2,0.729,0.944,0.444
4089.90,54.3,34.6,358893.011,3123950.771,2,0.717,0.919,0.448
4089.04,51.2,33.6,358894.011,3123950.771,2,0.705,0.898,0.450
4088.63,49.1,32.9,358895.011,3123950.771,2,0.701,0.893,0.441
4088.01,48.6,33.3,358896.011,3123950.771,2,0.695,0.882,0.435
4087.62,48.2,33.5,358897.011,3123950.771,2,0.694,0.879,0.422
4086.93,47.8,33.7,358898.011,3123950.771,2,0.687,0.868,0.411
4086.38,46.7,34.3,358899.011,3123950.771,2,0.684,0.862,0.399
4086.06,48.6,34.5,358900.011,3123950.771,2,0.686,0.864,0.390
4085.35,52.7,34.3,358901.011,3123950.771,2,0.681,0.853,0.374
4084.46,55.8,33.8,358902.011,3123950.771,2,0.674,0.841,0.363
4083.41,55.2,34.0,358903.011,3123950.771,2,0.665,0.822,0.354
4082.79,53.2,34.3,358904.011,3123950.771,2,0.663,0.819,0.346
4082.01,52.2,35.5,358905.011,3123950.771,2,0.659,0.807,0.333
4081.30,48.9,35.2,358906.011,3123950.771,2,0.657,0.802,0.330
4081.09,49.5,35.0,358907.011,3123950.771,2,0.664,0.808,0.311
4080.61,55.4,34.8,358908.011,3123950.771,2,0.665,0.808,0.308
4079.77,58.7,34.7,358909.011,3123950.771,2,0.661,0.797,0.301
4078.54,57.5,33.7,358910.011,3123950.771,2,0.649,0.778,0.304
4077.69,57.6,34.9,358911.011,3123950.771,2,0.645,0.768,0.301
4076.81,63.9,35.3,358912.011,3123950.771,2,0.641,0.759,0.299
4075.00,68.8,34.8,358913.011,3123950.771,2,0.620,0.725,0.299
4073.42,69.6,33.8,358914.011,3123950.771,2,0.605,0.702,0.306
4071.56,66.7,33.3,358915.011,3123950.771,2,0.588,0.672,0.312
4070.52,58.9,33.2,358916.011,3123950.771,2,0.584,0.661,0.315
4069.89,47.7,32.0,358917.011,3123950.771,2,0.585,0.659,0.319
4091.15,56.7,33.5,358893.011,3123949.771,2,0.735,0.959,0.430
4090.34,57.0,32.4,358894.011,3123949.771,2,0.723,0.936,0.433
4089.60,53.7,32.1,358895.011,3123949.771,2,0.713,0.916,0.435
4089.08,50.0,32.1,358896.011,3123949.771,2,0.707,0.907,0.427
4088.32,47.5,32.3,358897.011,3123949.771,2,0.698,0.889,0.419
4087.73,47.0,33.4,358898.011,3123949.771,2,0.693,0.881,0.408
4087.42,46.6,33.4,358899.011,3123949.771,2,0.694,0.881,0.397
4086.97,46.3,33.5,358900.011,3123949.771,2,0.693,0.878,0.381
4086.42,49.0,33.5,358901.011,3123949.771,2,0.690,0.871,0.374
4085.65,52.9,33.2,358902.011,3123949.771,2,0.684,0.860,0.357
4084.67,54.7,33.5,358903.011,3123949.771,2,0.675,0.843,0.351
4084.02,55.4,33.7,358904.011,3123949.771,2,0.673,0.838,0.342
4083.06,54.8,35.2,358905.011,3123949.771,2,0.665,0.821,0.337
4082.38,51.8,34.8,358906.011,3123949.771,2,0.663,0.815,0.325
4081.91,49.1,34.8,358907.011,3123949.771,2,0.665,0.815,0.323
4081.65,50.3,33.8,358908.011,3123949.771,2,0.670,0.821,0.311
4080.82,55.6,34.6,358909.011,3123949.771,2,0.665,0.809,0.303
4079.78,58.1,33.6,358910.011,3123949.771,2,0.657,0.795,0.299
4078.76,57.4,34.0,358911.011,3123949.771,2,0.649,0.779,0.301
4077.99,58.4,34.0,358912.011,3123949.771,2,0.646,0.772,0.298
4077.63,63.9,33.8,358913.011,3123949.771,2,0.650,0.773,0.298
