Cliff_1	Date
0.00069	2013-05-19
0.00055	2013-05-19 01:00:00
0.00043	2013-05-19 02:00:00
0.0004	2013-05-19 03:00:00
0.00047	2013-05-19 04:00:00
0.00051	2013-05-19 05:00:00
0.00088	2013-05-19 06:00:00
0.00749	2013-05-19 07:00:00
0.00857	2013-05-19 08:00:00
0.00919	2013-05-19 09:00:00
0.00957	2013-05-19 10:00:00
0.00905	2013-05-19 11:00:00
0.00818	2013-05-19 12:00:00
0.00618	2013-05-19 13:00:00
0.00523	2013-05-19 14:00:00
0.00364	2013-05-19 15:00:00
0.00243	2013-05-19 16:00:00
0.00184	2013-05-19 17:00:00
0.0011	2013-05-19 18:00:00
0.00088	2013-05-19 19:00:00
0.0007	2013-05-19 20:00:00
0.00067	2013-05-19 21:00:00
0.00056	2013-05-19 22:00:00
0.00055	2013-05-19 23:00:00
0.00083	2013-05-20
0.00089	2013-05-20 01:00:00
0.00077	2013-05-20 02:00:00
0.00069	2013-05-20 03:00:00
0.00066	2013-05-20 04:00:00
0.00061	2013-05-20 05:00:00
0.00114	2013-05-20 06:00:00
0.00748	2013-05-20 07:00:00
0.0067	2013-05-20 08:00:00
0.00822	2013-05-20 09:00:00
0.00636	2013-05-20 10:00:00
0.00566	2013-05-20 11:00:00
0.00531	2013-05-20 12:00:00
0.00511	2013-05-20 13:00:00
0.00414	2013-05-20 14:00:00
0.00353	2013-05-20 15:00:00
0.00263	2013-05-20 16:00:00
0.00186	2013-05-20 17:00:00
0.00151	2013-05-20 18:00:00
0.00135	2013-05-20 19:00:00
0.00118	2013-05-20 20:00:00
0.00112	2013-05-20 21:00:00
0.0011	2013-05-20 22:00:00
0.0011	2013-05-20 23:00:00
0.00053	2013-05-21
0.00047	2013-05-21 01:00:00
0.00047	2013-05-21 02:00:00
0.00048	2013-05-21 03:00:00
0.00052	2013-05-21 04:00:00
0.00056	2013-05-21 05:00:00
0.00095	2013-05-21 06:00:00
0.00754	2013-05-21 07:00:00
0.00883	2013-05-21 08:00:00
0.01016	2013-05-21 09:00:00
0.01024	2013-05-21 10:00:00
0.00988	2013-05-21 11:00:00
0.00925	2013-05-21 12:00:00
0.00754	2013-05-21 13:00:00
0.0059	2013-05-21 14:00:00
0.00453	2013-05-21 15:00:00
0.00282	2013-05-21 16:00:00
0.00184	2013-05-21 17:00:00
0.00115	2013-05-21 18:00:00
0.00096	2013-05-21 19:00:00
0.00087	2013-05-21 20:00:00
0.00079	2013-05-21 21:00:00
0.00084	2013-05-21 22:00:00
0.00079	2013-05-21 23:00:00
0.00084	2013-05-22
0.00086	2013-05-22 01:00:00
0.00078	2013-05-22 02:00:00
0.00071	2013-05-22 03:00:00
0.00067	2013-05-22 04:00:00
0.00075	2013-05-22 05:00:00
0.0014	2013-05-22 06:00:00
0.0058	2013-05-22 07:00:00
0.0083	2013-05-22 08:00:00
0.0105	2013-05-22 09:00:00
0.0104	2013-05-22 10:00:00
0.00976	2013-05-22 11:00:00
0.00927	2013-05-22 12:00:00
0.00682	2013-05-22 13:00:00
0.00566	2013-05-22 14:00:00
0.00482	2013-05-22 15:00:00
0.00268	2013-05-22 16:00:00
0.00186	2013-05-22 17:00:00
0.00126	2013-05-22 18:00:00
0.0011	2013-05-22 19:00:00
0.00098	2013-05-22 20:00:00
0.00094	2013-05-22 21:00:00
0.00089	2013-05-22 22:00:00
0.00082	2013-05-22 23:00:00
0.00081	2013-05-23
0.00079	2013-05-23 01:00:00
0.00076	2013-05-23 02:00:00
0.00066	2013-05-23 03:00:00
0.0006	2013-05-23 04:00:00
0.00053	2013-05-23 05:00:00
0.00101	2013-05-23 06:00:00
0.00765	2013-05-23 07:00:00
0.00899	2013-05-23 08:00:00
0.00998	2013-05-23 09:00:00
0.01007	2013-05-23 10:00:00
0.01012	2013-05-23 11:00:00
0.00899	2013-05-23 12:00:00
0.00655	2013-05-23 13:00:00
0.00538	2013-05-23 14:00:00
