Date	I_s	D_s	D_t	I_n	I_in	L_s	L_d	H	LE	Q_m	melt
2013-05-19	0.0000	0.0000	0.0000	0.0000	0.0000	228.8456	122.6004	6.7775	4.7636	56.8193	0.0007
2013-05-19 01:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	224.6529	120.8372	3.9462	1.8207	45.0891	0.0006
2013-05-19 02:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	218.9599	117.9181	2.1684	0.4777	33.3561	0.0004
2013-05-19 03:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	216.4371	117.4561	2.4499	0.3126	30.4878	0.0004
2013-05-19 04:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	218.7575	119.1281	3.9070	1.9995	37.6243	0.0005
2013-05-19 05:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	220.5188	119.4291	4.6008	2.7667	41.1477	0.0005
2013-05-19 06:00:00	0.0000	44.7474	3.8392	38.8693	48.5866	217.6343	118.2716	3.5504	1.1065	73.2642	0.0009
2013-05-19 07:00:00	544.9951	130.6694	22.7306	558.7161	698.3951	225.5821	138.4740	7.2652	1.6096	625.4791	0.0075
2013-05-19 08:00:00	573.6606	161.1903	33.1327	614.3869	767.9836	235.7681	152.9273	13.2324	5.5224	715.6692	0.0086
2013-05-19 09:00:00	580.3123	182.7989	42.4375	644.4390	805.5487	241.8108	159.7276	19.6201	8.0062	767.4358	0.0092
2013-05-19 10:00:00	560.2422	197.5618	49.9699	646.2192	807.7739	247.2494	164.7300	35.4367	11.8390	799.3064	0.0096
2013-05-19 11:00:00	504.1276	188.5655	53.1357	596.6630	745.8288	249.4392	173.7912	34.4829	7.6402	755.8487	0.0091
2013-05-19 12:00:00	375.4530	182.2151	48.7812	485.1594	606.4493	257.6465	184.0086	45.3805	17.1927	683.2198	0.0082
2013-05-19 13:00:00	60.5994	328.3763	29.1773	334.5225	418.1531	257.6794	168.1730	40.7956	21.3654	516.3679	0.0062
