Date	Gamma	E_0	omega	delta	theta	solaraz	I_E	k_t	k_d	D_h	I_b	SEA	ustar	Re	z0T	z0e	K_s	K_L
2013-05-19	5.7342	1.0282	-3.1416	0.3440	2.3054	180.0000	0.0000	0.0000	1.0118	0.0000	-0.0000	-42.0875	0.0396	8.8043	0.0005	0.0005	0.0399	62.2722
2013-05-19 01:00:00	5.7342	1.0282	-2.8798	0.3440	2.2679	198.5292	0.0000	0.0000	1.0121	0.0000	-0.0000	-39.9407	0.0242	5.3690	0.0010	0.0010	0.0432	67.3867
2013-05-19 02:00:00	5.7342	1.0282	-2.6180	0.3440	2.1641	214.5919	0.0000	0.0000	1.0131	0.0000	-0.0000	-33.9944	0.0183	4.0764	0.0013	0.0013	0.0450	70.2432
2013-05-19 03:00:00	5.7342	1.0282	-2.3562	0.3440	2.0123	227.4134	0.0000	0.0000	1.0147	0.0000	-0.0000	-25.2940	0.0304	6.7515	0.0007	0.0007	0.0417	65.0079
2013-05-19 04:00:00	5.7342	1.0282	-2.0944	0.3440	1.8291	237.4847	0.0000	0.0000	1.0169	0.0000	-0.0000	-14.7995	0.0488	10.8442	0.0004	0.0004	0.0386	60.1538
2013-05-19 05:00:00	5.7342	1.0282	-1.8326	0.3440	1.6262	245.6044	0.0000	0.0000	1.0193	0.0000	-0.0000	-3.1723	0.0495	11.0101	0.0004	0.0004	0.0385	60.0008
2013-05-19 06:00:00	5.7342	1.0282	-1.5708	0.3440	1.4107	252.4755	224.0414	0.3699	0.7813	64.7444	113.7066	9.1716	0.0445	9.8891	0.0004	0.0004	0.0392	61.0872
2013-05-19 07:00:00	5.7342	1.0282	-1.3090	0.3440	1.1873	258.6742	525.8676	0.9330	0.3853	189.0639	806.0712	21.9701	0.0379	8.4236	0.0005	0.0005	0.0402	62.7252
2013-05-19 08:00:00	5.7342	1.0282	-1.0472	0.3440	0.9591	264.7554	807.1250	0.8861	0.3261	233.2242	839.2850	35.0450	0.0492	10.9412	0.0004	0.0004	0.0385	60.0641
2013-05-19 09:00:00	5.7342	1.0282	-0.7854	0.3440	0.7287	268.5115	1048.6461	0.8735	0.2887	264.4894	873.2831	48.2491	0.0610	13.5521	0.0003	0.0003	0.0371	57.9271
2013-05-19 10:00:00	5.7342	1.0282	-0.5236	0.3440	0.4993	259.4112	1233.9718	0.8741	0.2650	285.8497	902.9934	61.3895	0.0981	21.7947	0.0001	0.0001	0.0342	53.3536
2013-05-19 11:00:00	5.7342	1.0282	-0.2618	0.3440	0.2810	241.4739	1350.4724	0.8493	0.2379	272.8331	909.7662	73.8998	0.0817	18.1457	0.0002	0.0002	0.0353	55.0866
2013-05-19 12:00:00	5.7342	1.0282	0.0000	0.3440	0.1481	180.0000	1390.2085	0.7574	0.2504	263.6448	798.0201	81.5125	0.1026	22.8083	0.0001	0.0001	0.0339	52.9300
2013-05-19 13:00:00	5.7342	1.0282	0.2618	0.3440	0.2810	118.5261	1350.4724	0.4663	0.7544	475.1236	160.9734	73.8998	0.0988	21.9500	0.0001	0.0001	0.0342	53.2872
2013-05-19 14:00:00	5.7342	1.0282	0.5236	0.3440	0.4993	100.5888	1233.9718	0.4037	0.8494	423.0840	85.4594	61.3895	0.0858	19.0624	0.0002	0.0002	0.0350	54.6165
2013-05-19 15:00:00	5.7342	1.0282	0.7854	0.3440	0.7287	91.4885	1048.6461	0.2746	0.9594	276.3198	15.6673	48.2491	0.0766	17.0213	0.0002	0.0002	0.0357	55.7011
